Product Link,Product Name,Product Price,Product Rating,Product Ratings
amazon.in/Glowic-Hopping-Shoulder-Handbags-WBAG-34/dp/B09HHNZ47K/ref=sr_1_105?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-105,"Glowic Hopping Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-34) (Multi Colour)",459,432,3.7 out of 5 stars
amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-106,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,699,644,4.2 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4NDUxNTkxMTAxMDIwNTIzOjE2OTAwOTY0NjE6c3BfbXRmOjMwMDAxMTE2NjgzODczMjo6MDo6&url=%2FSafari-SAGE18FBBLK-Sage-Formal-Backpack%2Fdp%2FB097JLZBK3%2Fref%3Dsr_1_107_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096461%26sprefix%3Dba%252Caps%252C283%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Sage Formal Backpack - black,"3,499",2,5.0 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4NDUxNTkxMTAxMDIwNTIzOjE2OTAwOTY0NjE6c3BfbXRmOjMwMDAwNjgyMjEyNjYzMjo6MDo6&url=%2FWALKENT-Premium-Support-Pockets-Elprine%2Fdp%2FB0C7KP65DP%2Fref%3Dsr_1_108_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096461%26sprefix%3Dba%252Caps%252C283%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT Waterproof Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More P2","4,990",,
amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-109,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),699,"1,339",3.9 out of 5 stars
amazon.in/ZOUK-Womens-Office-Bag-Multicolour/dp/B09DF2NPCS/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-110,ZOUK Mughal Art Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles,"1,689",105,4.2 out of 5 stars
amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-111,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),646,261,3.8 out of 5 stars
amazon.in/NORTH-ZONE-Northzone-Business-Messenger/dp/B0C555LQF4/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-112,NORTH ZONE Northzone Sling Cross Body Travel Office Business Messenger One Side Shoulder Pouch Bag Money Bag for Men and Women,249,36,3.9 out of 5 stars
amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_113?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-113,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,"9,890",3.9 out of 5 stars
amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_114?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-114,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",649,5,3.8 out of 5 stars
amazon.in/SPENZ-BAGS-Backpack-Raincover-Baby-Pink/dp/B0C3RNFHHV/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-115,"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",999,120,4.2 out of 5 stars
amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B0BR149RMT/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-116,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),699,87,3.6 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4NDUxNTkxMTAxMDIwNTIzOjE2OTAwOTY0NjE6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_117_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096461%26sprefix%3Dba%252Caps%252C283%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,375","2,268",4.2 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4NDUxNTkxMTAxMDIwNTIzOjE2OTAwOTY0NjE6c3BfYnRmOjMwMDAxNDU5NDAwMTYzMjo6MDo6&url=%2FElegant-Leatherette-Waterproof-Backpack-Business%2Fdp%2FB0C4GVK22X%2Fref%3Dsr_1_118_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096461%26sprefix%3Dba%252Caps%252C283%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Elegant 16 inch 28 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,799,5,5.0 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTozMjMzMDQ5NTY4MTkzODA1OjE2OTAwOTY4MjU6c3BfYXRmX25leHQ6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_161_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096825%26sprefix%3Dba%252Caps%252C283%26sr%3D8-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",504,4.1 out of 5 stars
